"estimator","scenario","n","d","bins","seed","max_abs_error","mean_abs_error","max_abs_loo_error","mean_abs_loo_error","all_equal_tolerance","tolerance","backend_used","elapsed_naive","elapsed_sparse_prefix","G","G_occ","occupancy_rate","visited_vertices_mean","visited_vertices_median","visited_vertices_max","prefix_nodes_mean","prefix_nodes_median","prefix_nodes_max","theoretical_vertices"
"LBFP","normal",100,2,5,20261540,2.77555756156289e-17,1.92554305833426e-18,8.32667268468867e-17,1.16876994193937e-18,TRUE,1e-10,"R",0.0129999999999999,0.0219999999999998,36,15,0.416666666666667,3.65,4,4,5.98,6,6,4
"LBFP","normal",100,2,5,20261540,2.77555756156289e-17,2.75821032680312e-18,8.32667268468867e-17,1.33627917758838e-18,TRUE,1e-10,"cpp",0.0129999999999999,0.00499999999999989,36,15,0.416666666666667,3.65,4,4,5.98,6,6,4
"LBFP","normal",500,2,5,20262549,2.77555756156289e-17,1.76855058375835e-18,1.38777878078145e-17,1.94289029309402e-19,TRUE,1e-10,"R",0.0150000000000001,0.012,36,18,0.5,3.734,4,4,5.996,6,6,4
"LBFP","normal",500,2,5,20262549,2.77555756156289e-17,2.38958158815805e-18,1.38777878078145e-17,2.57056288283314e-19,TRUE,1e-10,"cpp",0.0150000000000001,0.00099999999999989,36,18,0.5,3.734,4,4,5.996,6,6,4
"LBFP","normal",100,3,5,20263558,6.93889390390723e-18,7.19910242530375e-19,4.16333634234434e-17,1.61437703483092e-18,TRUE,1e-10,"R",0.00499999999999989,0.00499999999999989,216,32,0.148148148148148,5.29,6,8,12.88,14,14,8
"LBFP","normal",100,3,5,20263558,6.93889390390723e-18,6.48352899146332e-19,4.16333634234434e-17,1.23273787011602e-18,TRUE,1e-10,"cpp",0.00499999999999989,0,216,32,0.148148148148148,5.29,6,8,12.88,14,14,8
"LBFP","normal",500,3,5,20264567,6.93889390390723e-18,5.87474947161271e-19,2.77555756156289e-17,4.21497147080895e-19,TRUE,1e-10,"R",0.028,0.0310000000000001,216,50,0.231481481481481,6.624,7,8,13.688,14,14,8
"LBFP","normal",500,3,5,20264567,6.93889390390723e-18,6.76542155630954e-19,2.77555756156289e-17,4.58007655239345e-19,TRUE,1e-10,"cpp",0.028,0.00099999999999989,216,50,0.231481481481481,6.624,7,8,13.688,14,14,8
"LBFP","normal",100,5,5,20265576,6.50521303491303e-19,3.68628738645072e-20,5.55111512312578e-17,2.78314697677029e-18,TRUE,1e-10,"R",0.024,0.0129999999999999,7776,84,0.0108024691358025,5.08,3.5,18,34.68,36,56,32
"LBFP","normal",100,5,5,20265576,6.50521303491303e-19,3.68628738645072e-20,5.55111512312578e-17,2.78314697677029e-18,TRUE,1e-10,"cpp",0.024,0,7776,84,0.0108024691358025,5.08,3.5,18,34.68,36,56,32
"LBFP","normal",500,5,5,20266585,6.50521303491303e-19,6.41102297117835e-20,1.11022302462516e-16,1.25960914333471e-18,TRUE,1e-10,"R",0.164,0.0880000000000001,7776,204,0.0262345679012346,13.582,13,32,46.5,48,62,32
"LBFP","normal",500,5,5,20266585,8.67361737988404e-19,5.98953937662461e-20,1.11022302462516e-16,1.39789913043524e-18,TRUE,1e-10,"cpp",0.164,0.00100000000000033,7776,204,0.0262345679012346,13.582,13,32,46.5,48,62,32
"LBFP","normal",100,8,5,20267594,1.6940658945086e-21,2.5410988417629e-23,5.55111512312578e-17,5.72458747072348e-19,TRUE,1e-10,"R",0.218,0.0270000000000001,1679616,100,5.95374180765127e-05,1.82,1,9,55.48,50,138,256
"LBFP","normal",100,8,5,20267594,1.6940658945086e-21,2.5410988417629e-23,5.55111512312578e-17,5.72458747072348e-19,TRUE,1e-10,"cpp",0.218,0,1679616,100,5.95374180765127e-05,1.82,1,9,55.48,50,138,256
"LBFP","normal",500,8,5,20268603,3.3881317890172e-20,6.63388925100178e-22,1.11022302462516e-16,1.81140367462584e-18,TRUE,1e-10,"R",1.506,0.416,1679616,435,0.00025898776863283,12.558,8,111,131.98,122,416,256
"LBFP","normal",500,8,5,20268603,3.3881317890172e-20,6.72706287519975e-22,1.11022302462516e-16,1.70038137216333e-18,TRUE,1e-10,"cpp",1.506,0.00100000000000033,1679616,435,0.00025898776863283,12.558,8,111,131.98,122,416,256
"LBFP","normal",100,2,15,20269612,2.77555756156289e-17,6.93889390390723e-19,2.22044604925031e-16,2.37060805013955e-18,TRUE,1e-10,"R",0.00300000000000011,0.00300000000000011,256,62,0.2421875,2.67,3,4,5.94,6,6,4
"LBFP","normal",100,2,15,20269612,1.38777878078145e-17,5.55111512312578e-19,2.22044604925031e-16,2.78694168437399e-18,TRUE,1e-10,"cpp",0.00300000000000011,0,256,62,0.2421875,2.67,3,4,5.94,6,6,4
"LBFP","normal",500,2,15,20270621,0,0,0,0,TRUE,1e-10,"R",0.0190000000000001,0.0139999999999993,256,105,0.41015625,3.742,4,4,5.992,6,6,4
"LBFP","normal",500,2,15,20270621,2.77555756156289e-17,2.17881268582687e-18,2.77555756156289e-17,7.05246408147508e-19,TRUE,1e-10,"cpp",0.0190000000000001,0,256,105,0.41015625,3.742,4,4,5.992,6,6,4
"LBFP","normal",100,3,15,20271630,2.77555756156289e-17,2.77555756156289e-19,0,0,TRUE,1e-10,"R",0.00499999999999989,0.00499999999999989,4096,94,0.02294921875,1.62,1,4,11,12,14,8
"LBFP","normal",100,3,15,20271630,2.77555756156289e-17,2.77555756156289e-19,0,0,TRUE,1e-10,"cpp",0.00499999999999989,0,4096,94,0.02294921875,1.62,1,4,11,12,14,8
"LBFP","normal",500,3,15,20272639,2.77555756156289e-17,1.07552855510562e-18,1.66533453693773e-16,2.70378337774435e-18,TRUE,1e-10,"R",0.0360000000000005,0.0329999999999995,4096,342,0.08349609375,4.206,4,8,13.516,14,14,8
"LBFP","normal",500,3,15,20272639,2.08166817117217e-17,1.18308141061618e-18,1.66533453693773e-16,2.85470432015433e-18,TRUE,1e-10,"cpp",0.0360000000000005,0.000999999999999446,4096,342,0.08349609375,4.206,4,8,13.516,14,14,8
"LBFP","normal",100,5,15,20273648,5.55111512312578e-17,3.5681093496498e-18,4.44089209850063e-16,5.6621374255883e-17,TRUE,1e-10,"R",0.0330000000000004,0.00800000000000001,1048576,100,9.5367431640625e-05,1.03,1,2,17.14,16,28,32
"LBFP","normal",100,5,15,20273648,5.55111512312578e-17,3.5681093496498e-18,4.44089209850063e-16,5.6621374255883e-17,TRUE,1e-10,"cpp",0.0330000000000004,0.00100000000000033,1048576,100,9.5367431640625e-05,1.03,1,2,17.14,16,28,32
"LBFP","normal",500,5,15,20274657,3.46944695195361e-18,1.43114686768086e-20,1.38777878078145e-17,4.6837533851374e-20,TRUE,1e-10,"R",0.169,0.0619999999999994,1048576,496,0.0004730224609375,1.318,1,6,26.756,27,46,32
"LBFP","normal",500,5,15,20274657,3.46944695195361e-18,1.43114686768086e-20,1.38777878078145e-17,4.6837533851374e-20,TRUE,1e-10,"cpp",0.169,0.00100000000000033,1048576,496,0.0004730224609375,1.318,1,6,26.756,27,46,32
"LBFP","normal",100,8,15,20275666,8.88178419700125e-16,3.40621170768994e-17,6.66133814775094e-16,1.43218770176645e-16,TRUE,1e-10,"R",0.271,0.00999999999999979,4294967296,100,2.3283064365387e-08,1,1,1,23.18,22,34,256
"LBFP","normal",100,8,15,20275666,8.88178419700125e-16,3.40621170768994e-17,6.66133814775094e-16,1.43218770176645e-16,TRUE,1e-10,"cpp",0.271,0,4294967296,100,2.3283064365387e-08,1,1,1,23.18,22,34,256
"LBFP","normal",500,8,15,20276675,5.55111512312578e-17,8.25239782138181e-19,5.55111512312578e-16,1.29452004671293e-16,TRUE,1e-10,"R",2.009,0.119,4294967296,500,1.16415321826935e-07,1.004,1,2,34.868,34,62,256
"LBFP","normal",500,8,15,20276675,5.55111512312578e-17,8.25239782138181e-19,5.55111512312578e-16,1.29452004671293e-16,TRUE,1e-10,"cpp",2.009,0.000999999999999446,4294967296,500,1.16415321826935e-07,1.004,1,2,34.868,34,62,256
"LBFP","clustered",100,2,5,20277684,6.93889390390723e-18,2.42861286636753e-19,1.04083408558608e-17,3.38271077815477e-19,TRUE,1e-10,"R",0.00399999999999956,0.00399999999999956,36,11,0.305555555555556,2.47,3,3,5.98,6,6,4
"LBFP","clustered",100,2,5,20277684,6.93889390390723e-18,5.89805981832115e-19,1.04083408558608e-17,4.85722573273506e-19,TRUE,1e-10,"cpp",0.00399999999999956,0,36,11,0.305555555555556,2.47,3,3,5.98,6,6,4
"LBFP","clustered",500,2,5,20278693,6.93889390390723e-18,1.47451495458029e-19,2.60208521396521e-18,4.25007251614317e-20,TRUE,1e-10,"R",0.016,0.0149999999999988,36,12,0.333333333333333,2.556,2,4,5.996,6,6,4
"LBFP","clustered",500,2,5,20278693,6.93889390390723e-18,4.62303806347819e-19,3.46944695195361e-18,1.01128957638586e-19,TRUE,1e-10,"cpp",0.016,0,36,12,0.333333333333333,2.556,2,4,5.996,6,6,4
"LBFP","clustered",100,3,5,20279702,4.33680868994202e-19,1.00288700954909e-20,2.22044604925031e-16,2.60208521396521e-18,TRUE,1e-10,"R",0.00600000000000023,0.00500000000000078,216,19,0.087962962962963,2.52,2,5,11.04,11,14,8
