"estimator","n","d","direct_elapsed","sparse_elapsed","speedup_sparse_vs_direct","occupancy_rate","nominal_stencil","direct_visited_median","sparse_visited_median","prefix_nodes_median","visited_ratio_median","prefix_ratio_median","max_abs_error"
"ASH",250,2,0.036,0.054,0.666666666666667,0.36078431372549,9,8,8,12,0.888888888888889,1.33333333333333,0
"ASH",250,3,0.0599999999999999,0.048,1.25,0.0781065088757396,27,10,10,37.5,0.37037037037037,1.38888888888889,0
"ASH",250,4,0.184,0.0860000000000001,2.13953488372093,0.0106239913932222,81,6,6,75,0.0740740740740741,0.925925925925926,0
"ASH",250,5,0.608,0.137,4.43795620437956,0.00142171877709068,243,4,4,108,0.0164609053497942,0.444444444444444,0
"ASH",250,6,2.761,0.263,10.4980988593156,0.000143480257116621,729,3,3,127.5,0.00411522633744856,0.174897119341564,0
"ASH",500,2,0.103999999999999,0.046999999999997,2.21276595744693,0.394736842105263,9,9,9,12,1,1.33333333333333,0
"ASH",500,3,0.25,0.230999999999995,1.08225108225111,0.0788143382352941,27,13,13,39,0.481481481481481,1.44444444444444,0
"ASH",500,4,0.956000000000003,0.445999999999998,2.14349775784755,0.0152407116692831,81,10,10,84,0.123456790123457,1.03703703703704,0
"ASH",500,5,2.97900000000001,0.797000000000004,3.73776662484315,0.00170662670662671,243,6,6,132,0.0246913580246914,0.54320987654321,0
"ASH",500,6,9.647,1.126,8.56749555950263,0.000154092702169625,729,4,4,168,0.00548696844993141,0.230452674897119,0
"ASH",1000,2,0.11699999999999,0.108000000000004,1.0833333333332,0.384297520661157,9,9,9,12,1,1.33333333333333,0
"ASH",1000,3,0.62700000000001,0.448000000000008,1.39955357142857,0.123978758169935,27,17,17,39,0.62962962962963,1.44444444444444,0
"ASH",1000,4,2.31299999999999,1.136,2.03609154929577,0.0166480654761905,81,13,13,99,0.160493827160494,1.22222222222222,0
"ASH",1000,5,8.137,2.24799999999999,3.6196619217082,0.00123177476118653,243,8,8,153,0.0329218106995885,0.62962962962963,0
